"","GEOID","insur_rate","medn_incm","educ_rate","PoC","EJStress","BrwnFl_500","BrwnFl_250","BrwnFl_1k"
"96","340010112021",0.992474546259407,0.367810528757885,0.148086522462562,0.18680832226649,0.44,0,0,0
"97","340010112022",1,0.208263166947332,0.128146453089245,0.115942028985507,0.52,0,0,0
"98","340010112023",0.970068027210884,0.335882656469374,0.0973520249221184,0.285714285714286,0.48,0,0,0
"99","340010112024",0.94263862332696,0.192379230483078,0.166809974204643,0.602931803696622,0.52,0,0,0
"100","340010113001",0.896946564885496,0.280906876372495,0.281065088757396,0.280534351145038,0.64,0,0,0
"101","340010113002",0.947948560930802,0.351070595717617,0.208032955715757,0.354562155541947,0.72,0,0,0
"102","340010113003",0.93951093951094,0.346742613029548,0.237637362637363,0.517256071580741,0.68,1,0,1
"103","340010114011",0.885377611140868,0.512269950920196,0.354838709677419,0.155567394778902,0.48,0,0,0
"104","340010114012",0.970691676436108,0.368290526837893,0.382297551789077,0.39390386869871,0.48,0,0,0
"105","340010114013",0.940284360189574,0.35999856000576,0.371571072319202,0.29478672985782,0.32,0,0,0
"106","340010114031",0.958492626979792,0.50812196751213,0.314429289303661,0.267613326051338,0.44,0,0,0
"107","340010114032",0.989603024574669,0.199167203331187,0.351387054161163,0.363894139886578,0.44,0,0,0
"108","340010114033",0.936974789915966,0.457142171431314,0.381258023106547,0.491596638655462,0.4,0,0,0
"109","340010114041",1,0.442598229607082,0.423855165069223,0.196078431372549,0.36,0,0,0
"110","340010114042",0.93562574970012,0.285666857332571,0.321794246708922,0.515904572564612,0.36,0,0,0
"111","340010114043",0.991767554479419,0.414954340182639,0.310311284046693,0.465859564164649,0.28,0,0,0
"112","340010114044",1,NA,0.383624655013799,0.468540012217471,0.24,0,0,0
"113","340010115001",0.951072017592084,0.405850376598494,0.296677215189873,0.142167381974249,0.36,0,0,0
"114","340010115002",0.979122434536447,0.403230387078452,0.260773480662983,0.489384288747346,0.44,0,0,0
"115","340010115003",0.92843779232928,0.224863100547598,0.121256391526662,0.324602432179607,0.48,0,0,0
"116","340010116001",0.967951695308871,0.262566949732201,0.179422199695895,0.14723641430562,0.36,0,0,0
"117","340010116002",0.92964824120603,0.309582761668953,0.160759493670886,0.299832495812395,0.48,0,0,0
"118","340010116003",0.969150174621653,0.451818192727229,0.335101679929266,0.133798720186155,0.24,0,0,0
"119","340010117021",0.97752808988764,0.401110395558418,0.156501726121979,0.603803486529319,0.76,0,0,0
"120","340010117022",0.925510612735282,0.206019175923296,0.169751116783663,0.670955165692008,0.64,0,0,0
"121","340010117031",0.920305676855895,0.290526837892648,0.169517884914463,0.709923664122137,0.56,0,0,0
"122","340010117032",0.942986425339366,0.35249859000564,0.364997121473805,0.673755656108597,0.56,0,0,0
"123","340010117033",0.982048574445618,0.281042875828497,0.227686703096539,0.487856388595565,0.64,0,0,0
"124","340010117041",0.95615866388309,0.238235047059812,0.254493170381021,0.478079331941545,0.64,0,0,0
"125","340010117042",0.99034749034749,0.290738837044652,0.297120418848168,0.535521235521236,0.68,0,0,0
"126","340010118031",0.982698961937716,NA,0.581419624217119,0.480103806228374,0.52,0,0,0
"127","340010118032",0.913389513108614,0.202447190211239,0.266914498141264,0.692415730337079,0.64,0,0,0
"128","340010118033",0.971620971620972,0.538997844008624,0.507945850500294,0.185185185185185,0.56,0,0,0
"129","340010118041",0.828708842027377,0.379930480278079,0.214123006833713,0.50425453200148,0.4,0,0,0
"130","340010118042",0.98586118251928,0.530309878760485,0.420648464163823,0.295629820051414,0.4,0,0,0
"131","340010118043",0.885540237255531,0.33375066499734,0.465191332411249,0.313562039115101,0.4,0,0,0
"132","340010118051",0.991089509923046,0.436750252998988,0.33041447752481,0.261569416498994,0.2,0,0,0
"133","340010118061",0.88663967611336,0.481666073335707,0.405786350148368,0.430414979757085,0.44,0,0,0
"134","340010118062",0.902102496714849,0.484218063127748,0.222517730496454,0.23850197109067,0.4,0,0,0
"135","340010118063",1,0.434282262870949,0.529471544715447,0.357436600411241,0.36,0,0,0
"136","340010118071",0.919653893695921,0.59499762000952,0.378548895899054,0.496291718170581,0.32,0,0,0
"137","340010118072",0.912143693869582,0.482126071495714,0.317116060961313,0.2827020695041,0.48,0,0,0
"138","340010118073",0.958785249457701,0.431498274006904,0.266856600189934,0.291753291753292,0.24,0,0,0
"139","340010118081",0.924878479893946,0.635537457850169,0.427591463414634,0.765797613787008,0.24,0,0,0
"140","340010118082",0.989886219974716,0.226583093667625,0.494208494208494,0.224796493425172,0.16,0,0,0
"141","340010119011",0.875,0.1812752748989,0.0161073825503356,0.95820189274448,0.64,1,1,1
"142","340010119012",0.842023346303502,NA,0.0409145607701564,0.992217898832685,0.72,0,0,1
"143","340010119021",0.915482954545455,NA,0.191311612364244,0.950994318181818,0.64,0,0,0
"144","340010119022",0.712548015364917,0.197635209459162,0.135752688172043,0.823623559539053,0.72,0,0,1
"145","340010120001",0.823985408116735,0.216519133923464,0.0885022692889561,0.910168718650251,0.64,0,0,0
"146","340010120002",0.873853211009174,0.23059907760369,0.219206680584551,0.818807339449541,0.8,1,1,1
"147","340010121001",0.879179331306991,0.23499906000376,0.141714285714286,0.921732522796353,0.64,1,1,1
"148","340010121002",0.911284599006387,0.138299446802213,0.102702702702703,0.866580310880829,0.52,0,0,1
"149","340010122001",0.916524119055765,0.193399226403094,0.129510309278351,0.953472459801574,0.68,1,1,1
"150","340010122002",0.964831804281346,0.423178307286771,0.101740294511379,0.940366972477064,0.52,0,0,0
"151","340010122003",0.935018050541516,0.189471242115032,0.130364372469636,0.832644628099174,0.64,0,0,0
"152","340010123021",0.995808104331625,0.624281502873989,0.50246652572234,0.347461574289707,0.52,0,0,0
"153","340010123022",0.966834895457823,0.279498882004472,0.390804597701149,0.373467916366258,0.48,0,0,0
"154","340010124011",0.997371188222923,0.291038835844657,0.382716049382716,0.170305676855895,0.64,0,0,0
"155","340010124012",0.966224366706876,0.571841712633149,0.45839636913767,0.0422195416164053,0.56,0,0,0
"156","340010124021",0.996405463695183,0.400498398006408,0.458891013384321,0.171099928109274,0.56,0,0,0
"157","340010124022",0.95702479338843,0.459790160839357,0.512931034482759,0.338735818476499,0.52,0,0,0
"158","340010125011",0.978246539222149,0.405498378006488,0.525796661608498,0.0884848484848485,0.56,0,0,0
"159","340010125012",0.990070921985816,0.50687397250411,0.592668024439919,0.286524822695035,0.6,0,0,0
"160","340010125021",0.96440489432703,0.450274198903204,0.476968796433878,0.169076751946607,0.44,0,0,0
"161","340010125022",0.987935656836461,0.620961516153935,0.62874251497006,0.131367292225201,0.52,0,0,0
"162","340010126021",0.925637393767705,0.628997484010064,0.577801958650707,0.228753541076487,0.4,0,0,0
"163","340010127011",0.889204545454545,0.393886424454302,0.301647655259823,0.128851540616246,0.48,0,0,0
"164","340010127012",0.901768172888016,0.346562613749545,0.125,0.0392927308447937,0.48,0,0,0
"165","340010127013",0.884659746251442,0.278442886228455,0.356564019448947,0.313725490196078,0.44,0,0,0
"166","340010127021",0.964133738601824,0.264026943892224,0.276947285601888,0.278419452887538,0.56,0,0,0
"167","340010128011",0.869404365519793,0.168331326674693,0.232458816351434,0.504994450610433,0.52,0,0,0
"168","340010128012",0.833755274261603,0.230959076163695,0.214765100671141,0.39915611814346,0.56,0,0,0
"169","340010128021",0.834389140271493,0.380906476374095,0.300571428571429,0.0180995475113122,0.56,0,0,0
"170","340010128022",0.930188679245283,0.252330990676037,0.377828054298643,0.0264150943396226,0.6,0,0,0
"171","340010130001",1,0.490554037783849,0.470158343483557,0.024,0.24,0,0,0
"172","340010130002",1,0.433886264454942,0.690298507462687,0,0.4,0,0,0
"173","340010130003",1,0.510425958296167,0.375533428165007,0.103481624758221,0.28,0,0,0
"174","340010130004",0.987588652482269,0.337854648581406,0.632743362831858,0,0.4,0,0,0
"175","340010131011",0.981094527363184,0.81124875500498,0.7062423500612,0.0557213930348259,0.36,0,0,0
"176","340010131021",1,0.372290510837957,0.467455621301775,0,0.44,0,0,0
"177","340010131022",0.986072423398329,0.464046143815425,0.617210682492582,0.103064066852368,0.32,0,0,0
"178","340010131023",1,0.411034355862577,0.669082125603865,0.132352941176471,0.2,0,0,0
"179","340010132011",0.898477157360406,0.356498574005704,0.391653290529695,0.688324873096447,0.56,1,0,1
"180","340010132012",1,0.334762660949356,0.284955752212389,0.522508038585209,0.52,1,0,1
"181","340010132013",0.92192513368984,0.1749993000028,0.298309178743961,0.163636363636364,0.6,1,0,1
"182","340010132021",0.943298969072165,0.378570485718057,0.468834688346883,0.141752577319588,0.4,0,0,1
"183","340010132022",0.962566844919786,0.249999000004,0.311206896551724,0.258467023172906,0.44,0,0,0
"184","340010133011",1,0.234627061491754,0.386990077177508,0.294894366197183,0.32,0,0,0
"185","340010133012",0.815668202764977,NA,0.457547169811321,0,0.28,0,0,0
"186","340010133013",0.99626400996264,0.351458594165623,0.297872340425532,0.188044831880448,0.44,0,0,0
"187","340010133021",0.991862567811935,0.401282394870421,0.380619380619381,0.197106690777577,0.44,0,0,0
"188","340010133022",0.918149466192171,0.338330646677413,0.51,0.385231316725979,0.4,0,0,0
"189","340010133023",1,0.25125099499602,0.271889400921659,0.262237762237762,0.48,0,0,0
"190","340010135001",0.912306558585114,0.658329366682533,0.572666025024062,0.204863669859985,0.16,0,0,0
"191","340010135002",0.986259541984733,0.39499842000632,0.515397082658023,0.0259541984732824,0.36,0,0,0
